Pokemon,Location,Encounter Method,Level Range,Encounter Rate
Gyarados,Seafoam Islands B3F,Fishing (Unknown Rod),25-35,20
Gyarados,Seafoam Islands B4F,Fishing (Unknown Rod),15-25,20
Gyarados,Three Island Berry Forest,Fishing (Unknown Rod),15-25,20
Gyarados,Four Island Icefall Cave Entrance,Fishing (Unknown Rod),15-25,20
Gyarados,Four Island Icefall Cave Back,Fishing (Unknown Rod),15-25,20
Gyarados,One Island Kindle Road,Fishing (Unknown Rod),15-25,20
Gyarados,One Island Treasure Beach,Fishing (Unknown Rod),15-25,20
Gyarados,Two Island Cape Brink,Fishing (Unknown Rod),15-25,20
Gyarados,Three Island Bond Bridge,Fishing (Unknown Rod),15-25,20
Gyarados,Five Island Resort Gorgeous,Fishing (Unknown Rod),15-25,20
Gyarados,Five Island Water Labyrinth,Fishing (Unknown Rod),15-25,20
Gyarados,Five Island Meadow,Fishing (Unknown Rod),15-25,20
Gyarados,Five Island Memorial Pillar,Fishing (Unknown Rod),15-25,20
Gyarados,Six Island Outcast Island,Fishing (Unknown Rod),15-25,20
Gyarados,Six Island Green Path,Fishing (Unknown Rod),15-25,20
Gyarados,Six Island Water Path,Fishing (Unknown Rod),15-25,20
Gyarados,Six Island Ruin Valley,Fishing (Unknown Rod),15-25,20
Gyarados,Seven Island Trainer Tower,Fishing (Unknown Rod),15-25,20
Gyarados,Seven Island Tanoby Ruins,Fishing (Unknown Rod),15-25,20
Gyarados,Route4,Fishing (Unknown Rod),15-25,20
Gyarados,Route6,Fishing (Unknown Rod),15-25,20
Gyarados,Route10,Fishing (Unknown Rod),15-25,20
Gyarados,Route11,Fishing (Unknown Rod),15-25,20
Gyarados,Route12,Fishing (Unknown Rod),15-25,60
Gyarados,Route13,Fishing (Unknown Rod),15-25,20
Gyarados,Route19,Fishing (Unknown Rod),15-25,20
Gyarados,Route20,Fishing (Unknown Rod),15-25,20
Gyarados,Route21 North,Fishing (Unknown Rod),15-25,20
Gyarados,Route21 South,Fishing (Unknown Rod),15-25,20
Gyarados,Route22,Fishing (Unknown Rod),15-25,20
Gyarados,Route23,Fishing (Unknown Rod),15-25,20
Gyarados,Route24,Fishing (Unknown Rod),15-25,20
Gyarados,Route25,Fishing (Unknown Rod),15-25,20
Gyarados,Pallet Town,Fishing (Unknown Rod),4-6,10
Gyarados,Viridian City,Fishing (Unknown Rod),4-6,10
Gyarados,Cerulean City,Fishing (Unknown Rod),15-25,10
Gyarados,Vermilion City,Fishing (Unknown Rod),15-25,10
Gyarados,Fuchsia City,Fishing (Unknown Rod),15-25,10
Gyarados,Cinnabar Island,Fishing (Unknown Rod),15-25,10
Gyarados,One Island,Fishing (Unknown Rod),15-25,10
Gyarados,Four Island,Fishing (Unknown Rod),15-25,20
Gyarados,Five Island,Fishing (Unknown Rod),15-25,10
Haunter,Pokemon Tower 3F,Walking/Grass,20,2
Haunter,Pokemon Tower 4F,Walking/Grass,20,4
Haunter,Pokemon Tower 5F,Walking/Grass,20,6
Haunter,Pokemon Tower 6F,Walking/Grass,21,8
Haunter,Pokemon Tower 6F,Walking/Grass,23,8
Haunter,Pokemon Tower 7F,Walking/Grass,23,10
Haunter,Pokemon Tower 7F,Walking/Grass,23,10
Haunter,Pokemon Tower 7F,Walking/Grass,25,10
Haunter,Five Island Lost Cave Room1,Walking/Grass,44,1
Haunter,Five Island Lost Cave Room1,Walking/Grass,46,1
Haunter,Five Island Lost Cave Room1,Walking/Grass,48,1
Haunter,Five Island Lost Cave Room1,Walking/Grass,50,1
Haunter,Five Island Lost Cave Room1,Walking/Grass,52,1
Haunter,Five Island Lost Cave Room2,Walking/Grass,44,2
Haunter,Five Island Lost Cave Room2,Walking/Grass,46,2
Haunter,Five Island Lost Cave Room2,Walking/Grass,48,2
Haunter,Five Island Lost Cave Room2,Walking/Grass,50,2
Haunter,Five Island Lost Cave Room2,Walking/Grass,52,2
Haunter,Five Island Lost Cave Room3,Walking/Grass,44,3
Haunter,Five Island Lost Cave Room3,Walking/Grass,46,3
Haunter,Five Island Lost Cave Room3,Walking/Grass,48,3
Haunter,Five Island Lost Cave Room3,Walking/Grass,50,3
Haunter,Five Island Lost Cave Room3,Walking/Grass,52,3
Haunter,Five Island Lost Cave Room4,Walking/Grass,44,4
Haunter,Five Island Lost Cave Room4,Walking/Grass,46,4
Haunter,Five Island Lost Cave Room4,Walking/Grass,48,4
Haunter,Five Island Lost Cave Room4,Walking/Grass,50,4
Haunter,Five Island Lost Cave Room4,Walking/Grass,52,4
Haunter,Five Island Lost Cave Room5,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room5,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room5,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room5,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room5,Walking/Grass,52,5
Haunter,Five Island Lost Cave Room6,Walking/Grass,44,6
Haunter,Five Island Lost Cave Room6,Walking/Grass,46,6
Haunter,Five Island Lost Cave Room6,Walking/Grass,48,6
Haunter,Five Island Lost Cave Room6,Walking/Grass,50,6
Haunter,Five Island Lost Cave Room6,Walking/Grass,52,6
Haunter,Five Island Lost Cave Room7,Walking/Grass,44,7
Haunter,Five Island Lost Cave Room7,Walking/Grass,46,7
Haunter,Five Island Lost Cave Room7,Walking/Grass,48,7
Haunter,Five Island Lost Cave Room7,Walking/Grass,50,7
Haunter,Five Island Lost Cave Room7,Walking/Grass,52,7
Haunter,Five Island Lost Cave Room8,Walking/Grass,44,8
Haunter,Five Island Lost Cave Room8,Walking/Grass,46,8
Haunter,Five Island Lost Cave Room8,Walking/Grass,48,8
Haunter,Five Island Lost Cave Room8,Walking/Grass,50,8
Haunter,Five Island Lost Cave Room8,Walking/Grass,52,8
Haunter,Five Island Lost Cave Room9,Walking/Grass,44,9
Haunter,Five Island Lost Cave Room9,Walking/Grass,46,9
Haunter,Five Island Lost Cave Room9,Walking/Grass,48,9
Haunter,Five Island Lost Cave Room9,Walking/Grass,50,9
Haunter,Five Island Lost Cave Room9,Walking/Grass,52,9
Haunter,Five Island Lost Cave Room10,Walking/Grass,44,10
Haunter,Five Island Lost Cave Room10,Walking/Grass,46,10
Haunter,Five Island Lost Cave Room10,Walking/Grass,48,10
Haunter,Five Island Lost Cave Room10,Walking/Grass,50,10
Haunter,Five Island Lost Cave Room10,Walking/Grass,52,10
Haunter,Five Island Lost Cave Room11,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room11,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room11,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room11,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room11,Walking/Grass,52,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,52,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,52,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,52,5
Haunter,Pokemon Tower 3F,Walking/Grass,20,2
Haunter,Pokemon Tower 4F,Walking/Grass,20,4
Haunter,Pokemon Tower 5F,Walking/Grass,20,6
Haunter,Pokemon Tower 6F,Walking/Grass,21,8
Haunter,Pokemon Tower 6F,Walking/Grass,23,8
Haunter,Pokemon Tower 7F,Walking/Grass,23,10
Haunter,Pokemon Tower 7F,Walking/Grass,23,10
Haunter,Pokemon Tower 7F,Walking/Grass,25,10
Haunter,Five Island Lost Cave Room1,Walking/Grass,44,1
Haunter,Five Island Lost Cave Room1,Walking/Grass,46,1
Haunter,Five Island Lost Cave Room1,Walking/Grass,48,1
Haunter,Five Island Lost Cave Room1,Walking/Grass,50,1
Haunter,Five Island Lost Cave Room1,Walking/Grass,52,1
Haunter,Five Island Lost Cave Room2,Walking/Grass,44,2
Haunter,Five Island Lost Cave Room2,Walking/Grass,46,2
Haunter,Five Island Lost Cave Room2,Walking/Grass,48,2
Haunter,Five Island Lost Cave Room2,Walking/Grass,50,2
Haunter,Five Island Lost Cave Room2,Walking/Grass,52,2
Haunter,Five Island Lost Cave Room3,Walking/Grass,44,3
Haunter,Five Island Lost Cave Room3,Walking/Grass,46,3
Haunter,Five Island Lost Cave Room3,Walking/Grass,48,3
Haunter,Five Island Lost Cave Room3,Walking/Grass,50,3
Haunter,Five Island Lost Cave Room3,Walking/Grass,52,3
Haunter,Five Island Lost Cave Room4,Walking/Grass,44,4
Haunter,Five Island Lost Cave Room4,Walking/Grass,46,4
Haunter,Five Island Lost Cave Room4,Walking/Grass,48,4
Haunter,Five Island Lost Cave Room4,Walking/Grass,50,4
Haunter,Five Island Lost Cave Room4,Walking/Grass,52,4
Haunter,Five Island Lost Cave Room5,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room5,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room5,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room5,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room5,Walking/Grass,52,5
Haunter,Five Island Lost Cave Room6,Walking/Grass,44,6
Haunter,Five Island Lost Cave Room6,Walking/Grass,46,6
Haunter,Five Island Lost Cave Room6,Walking/Grass,48,6
Haunter,Five Island Lost Cave Room6,Walking/Grass,50,6
Haunter,Five Island Lost Cave Room6,Walking/Grass,52,6
Haunter,Five Island Lost Cave Room7,Walking/Grass,44,7
Haunter,Five Island Lost Cave Room7,Walking/Grass,46,7
Haunter,Five Island Lost Cave Room7,Walking/Grass,48,7
Haunter,Five Island Lost Cave Room7,Walking/Grass,50,7
Haunter,Five Island Lost Cave Room7,Walking/Grass,52,7
Haunter,Five Island Lost Cave Room8,Walking/Grass,44,8
Haunter,Five Island Lost Cave Room8,Walking/Grass,46,8
Haunter,Five Island Lost Cave Room8,Walking/Grass,48,8
Haunter,Five Island Lost Cave Room8,Walking/Grass,50,8
Haunter,Five Island Lost Cave Room8,Walking/Grass,52,8
Haunter,Five Island Lost Cave Room9,Walking/Grass,44,9
Haunter,Five Island Lost Cave Room9,Walking/Grass,46,9
Haunter,Five Island Lost Cave Room9,Walking/Grass,48,9
Haunter,Five Island Lost Cave Room9,Walking/Grass,50,9
Haunter,Five Island Lost Cave Room9,Walking/Grass,52,9
Haunter,Five Island Lost Cave Room10,Walking/Grass,44,10
Haunter,Five Island Lost Cave Room10,Walking/Grass,46,10
Haunter,Five Island Lost Cave Room10,Walking/Grass,48,10
Haunter,Five Island Lost Cave Room10,Walking/Grass,50,10
Haunter,Five Island Lost Cave Room10,Walking/Grass,52,10
Haunter,Five Island Lost Cave Room11,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room11,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room11,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room11,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room11,Walking/Grass,52,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room12,Walking/Grass,52,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room13,Walking/Grass,52,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,44,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,46,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,48,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,50,5
Haunter,Five Island Lost Cave Room14,Walking/Grass,52,5
Heracross,Six Island Pattern Bush,Walking/Grass,15,21
Heracross,Six Island Pattern Bush,Walking/Grass,20,21
Heracross,Six Island Pattern Bush,Walking/Grass,25,21
Heracross,Six Island Pattern Bush,Walking/Grass,30,21
Heracross,Six Island Pattern Bush,Walking/Grass,15,21
Heracross,Six Island Pattern Bush,Walking/Grass,20,21
Heracross,Six Island Pattern Bush,Walking/Grass,25,21
Heracross,Six Island Pattern Bush,Walking/Grass,30,21
Hitmonchan,Victory Road 2F,Walking/Grass,45,7
Hitmonlee,Victory Road 1F,Walking/Grass,45,7
Hoppip,Five Island Resort Gorgeous,Surfing,5-15,2
Hoppip,Five Island Water Labyrinth,Surfing,5-15,2
Hoppip,Five Island Meadow,Walking/Grass,10,21
Hoppip,Five Island Meadow,Walking/Grass,15,21
Hoppip,Five Island Meadow,Surfing,5-15,2
Hoppip,Five Island Memorial Pillar,Walking/Grass,10,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,12,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,8,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,14,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,10,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,12,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,16,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,6,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,8,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,14,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,8,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,14,21
Hoppip,Five Island Memorial Pillar,Surfing,5-15,2
Hoppip,Five Island,Surfing,5-15,1
Hoppip,Five Island Resort Gorgeous,Surfing,5-15,2
Hoppip,Five Island Water Labyrinth,Surfing,5-15,2
Hoppip,Five Island Meadow,Walking/Grass,10,21
Hoppip,Five Island Meadow,Walking/Grass,15,21
Hoppip,Five Island Meadow,Surfing,5-15,2
Hoppip,Five Island Memorial Pillar,Walking/Grass,10,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,12,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,8,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,14,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,10,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,12,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,16,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,6,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,8,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,14,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,8,21
Hoppip,Five Island Memorial Pillar,Walking/Grass,14,21
Hoppip,Five Island Memorial Pillar,Surfing,5-15,2
Hoppip,Five Island,Surfing,5-15,1
Horsea,Ssanne Exterior,Fishing (Unknown Rod),5-15,10
Horsea,Ssanne Exterior,Fishing (Unknown Rod),15-25,10
Horsea,Ssanne Exterior,Fishing (Unknown Rod),25-35,10
Horsea,Seafoam Islands B3F,Surfing,25-30,2
Horsea,Seafoam Islands B3F,Fishing (Unknown Rod),5-15,20
Horsea,Seafoam Islands B3F,Fishing (Unknown Rod),15-25,20
Horsea,Seafoam Islands B3F,Fishing (Unknown Rod),20-30,20
Horsea,Seafoam Islands B4F,Surfing,25-30,2
Horsea,Seafoam Islands B4F,Fishing (Unknown Rod),5-15,20
Horsea,Seafoam Islands B4F,Fishing (Unknown Rod),15-25,20
Horsea,Seafoam Islands B4F,Fishing (Unknown Rod),20-30,20
Horsea,Four Island Icefall Cave Back,Fishing (Unknown Rod),5-15,20
Horsea,Four Island Icefall Cave Back,Fishing (Unknown Rod),5-15,20
Horsea,Four Island Icefall Cave Back,Fishing (Unknown Rod),15-25,20
Horsea,One Island Kindle Road,Fishing (Unknown Rod),5-15,20
Horsea,One Island Kindle Road,Fishing (Unknown Rod),5-15,20
Horsea,One Island Kindle Road,Fishing (Unknown Rod),15-25,20
Horsea,One Island Kindle Road,Fishing (Unknown Rod),15-25,20
Horsea,One Island Treasure Beach,Fishing (Unknown Rod),5-15,20
Horsea,One Island Treasure Beach,Fishing (Unknown Rod),5-15,20
Horsea,One Island Treasure Beach,Fishing (Unknown Rod),15-25,20
Horsea,One Island Treasure Beach,Fishing (Unknown Rod),15-25,20
Horsea,Three Island Bond Bridge,Fishing (Unknown Rod),5-15,20
Horsea,Three Island Bond Bridge,Fishing (Unknown Rod),5-15,20
Horsea,Three Island Bond Bridge,Fishing (Unknown Rod),15-25,20
Horsea,Three Island Bond Bridge,Fishing (Unknown Rod),15-25,20
Horsea,Five Island Resort Gorgeous,Fishing (Unknown Rod),5-15,20
Horsea,Five Island Resort Gorgeous,Fishing (Unknown Rod),5-15,20
Horsea,Five Island Resort Gorgeous,Fishing (Unknown Rod),15-25,20
Horsea,Five Island Water Labyrinth,Fishing (Unknown Rod),5-15,20
Horsea,Five Island Water Labyrinth,Fishing (Unknown Rod),5-15,20
Horsea,Five Island Water Labyrinth,Fishing (Unknown Rod),15-25,20
Horsea,Five Island Meadow,Fishing (Unknown Rod),5-15,20
Horsea,Five Island Meadow,Fishing (Unknown Rod),5-15,20
Horsea,Five Island Meadow,Fishing (Unknown Rod),15-25,20
Horsea,Five Island Memorial Pillar,Fishing (Unknown Rod),5-15,20
Horsea,Five Island Memorial Pillar,Fishing (Unknown Rod),5-15,20
Horsea,Five Island Memorial Pillar,Fishing (Unknown Rod),15-25,20
Horsea,Six Island Outcast Island,Fishing (Unknown Rod),5-15,20
Horsea,Six Island Outcast Island,Fishing (Unknown Rod),5-15,20
Horsea,Six Island Outcast Island,Fishing (Unknown Rod),15-25,20
Horsea,Six Island Green Path,Fishing (Unknown Rod),5-15,20
Horsea,Six Island Green Path,Fishing (Unknown Rod),5-15,20
Horsea,Six Island Green Path,Fishing (Unknown Rod),15-25,20
Horsea,Six Island Water Path,Fishing (Unknown Rod),5-15,20
Horsea,Six Island Water Path,Fishing (Unknown Rod),5-15,20
Horsea,Six Island Water Path,Fishing (Unknown Rod),15-25,20
Horsea,Seven Island Trainer Tower,Fishing (Unknown Rod),5-15,20
Horsea,Seven Island Trainer Tower,Fishing (Unknown Rod),5-15,20
Horsea,Seven Island Trainer Tower,Fishing (Unknown Rod),15-25,20
Horsea,Seven Island Tanoby Ruins,Fishing (Unknown Rod),5-15,20
Horsea,Seven Island Tanoby Ruins,Fishing (Unknown Rod),5-15,20
Horsea,Seven Island Tanoby Ruins,Fishing (Unknown Rod),15-25,20
Horsea,Route4,Fishing (Unknown Rod),5-15,20
Horsea,Route4,Fishing (Unknown Rod),15-25,20
Horsea,Route4,Fishing (Unknown Rod),15-25,20
Horsea,Route4,Fishing (Unknown Rod),25-35,20
Horsea,Route10,Fishing (Unknown Rod),5-15,20
Horsea,Route10,Fishing (Unknown Rod),15-25,20
Horsea,Route10,Fishing (Unknown Rod),15-25,20
Horsea,Route10,Fishing (Unknown Rod),25-35,20
Horsea,Route11,Fishing (Unknown Rod),5-15,20
Horsea,Route11,Fishing (Unknown Rod),15-25,20
Horsea,Route11,Fishing (Unknown Rod),15-25,20
Horsea,Route11,Fishing (Unknown Rod),25-35,20
Horsea,Route12,Fishing (Unknown Rod),5-15,60
Horsea,Route12,Fishing (Unknown Rod),15-25,60
Horsea,Route12,Fishing (Unknown Rod),15-25,60
Horsea,Route12,Fishing (Unknown Rod),25-35,60
Horsea,Route13,Fishing (Unknown Rod),5-15,20
Horsea,Route13,Fishing (Unknown Rod),15-25,20
Horsea,Route13,Fishing (Unknown Rod),15-25,20
Horsea,Route13,Fishing (Unknown Rod),25-35,20
Horsea,Route19,Fishing (Unknown Rod),5-15,20
Horsea,Route19,Fishing (Unknown Rod),15-25,20
Horsea,Route19,Fishing (Unknown Rod),15-25,20
Horsea,Route20,Fishing (Unknown Rod),5-15,20
Horsea,Route20,Fishing (Unknown Rod),15-25,20
Horsea,Route20,Fishing (Unknown Rod),15-25,20
Horsea,Route21 North,Fishing (Unknown Rod),5-15,20
Horsea,Route21 North,Fishing (Unknown Rod),15-25,20
Horsea,Route21 North,Fishing (Unknown Rod),15-25,20
Horsea,Route21 South,Fishing (Unknown Rod),5-15,20
Horsea,Route21 South,Fishing (Unknown Rod),15-25,20
Horsea,Route21 South,Fishing (Unknown Rod),15-25,20
Horsea,Route24,Fishing (Unknown Rod),5-15,20
Horsea,Route24,Fishing (Unknown Rod),15-25,20
Horsea,Route24,Fishing (Unknown Rod),15-25,20
Horsea,Route24,Fishing (Unknown Rod),25-35,20
Horsea,Pallet Town,Fishing (Unknown Rod),3-5,10
Horsea,Pallet Town,Fishing (Unknown Rod),4-6,10
Horsea,Cerulean City,Fishing (Unknown Rod),5-15,10
Horsea,Cerulean City,Fishing (Unknown Rod),15-25,10
Horsea,Cerulean City,Fishing (Unknown Rod),15-25,10
Horsea,Cerulean City,Fishing (Unknown Rod),25-35,10
Horsea,Vermilion City,Fishing (Unknown Rod),5-15,10
Horsea,Vermilion City,Fishing (Unknown Rod),15-25,10
Horsea,Vermilion City,Fishing (Unknown Rod),25-35,10
Horsea,Cinnabar Island,Fishing (Unknown Rod),5-15,10
Horsea,Cinnabar Island,Fishing (Unknown Rod),15-25,10
Horsea,One Island,Fishing (Unknown Rod),5-15,10
Horsea,One Island,Fishing (Unknown Rod),5-15,10
Horsea,One Island,Fishing (Unknown Rod),15-25,10
Horsea,Five Island,Fishing (Unknown Rod),5-15,10
Horsea,Five Island,Fishing (Unknown Rod),5-15,10
Horsea,Five Island,Fishing (Unknown Rod),15-25,10
Horsea,Ssanne Exterior,Fishing (Unknown Rod),5-15,10
Horsea,Seafoam Islands B3F,Fishing (Unknown Rod),5-15,20
Horsea,Seafoam Islands B4F,Fishing (Unknown Rod),5-15,20
Horsea,Route4,Fishing (Unknown Rod),5-15,20
Horsea,Route10,Fishing (Unknown Rod),5-15,20
Horsea,Route11,Fishing (Unknown Rod),5-15,20
Horsea,Route12,Fishing (Unknown Rod),5-15,60
Horsea,Route13,Fishing (Unknown Rod),5-15,20
Horsea,Route19,Fishing (Unknown Rod),5-15,20
Horsea,Route20,Fishing (Unknown Rod),5-15,20
Horsea,Route21 North,Fishing (Unknown Rod),5-15,20
Horsea,Route21 South,Fishing (Unknown Rod),5-15,20
Horsea,Route24,Fishing (Unknown Rod),5-15,20
Horsea,Pallet Town,Fishing (Unknown Rod),3-6,10
Horsea,Pallet Town,Fishing (Unknown Rod),3-5,10
Horsea,Cerulean City,Fishing (Unknown Rod),5-15,10
Horsea,Vermilion City,Fishing (Unknown Rod),5-15,10
Horsea,Vermilion City,Fishing (Unknown Rod),25-35,10
Horsea,Cinnabar Island,Fishing (Unknown Rod),5-15,10
Houndour,Six Island Altering Cave,Walking/Grass,16,5
Houndour,Six Island Altering Cave,Walking/Grass,18,5
Houndour,Six Island Altering Cave,Walking/Grass,14,5
Houndour,Six Island Altering Cave,Walking/Grass,20,5
Houndour,Six Island Altering Cave,Walking/Grass,16,5
Houndour,Six Island Altering Cave,Walking/Grass,18,5
Houndour,Six Island Altering Cave,Walking/Grass,22,5
Houndour,Six Island Altering Cave,Walking/Grass,12,5
Houndour,Six Island Altering Cave,Walking/Grass,14,5
Houndour,Six Island Altering Cave,Walking/Grass,20,5
Houndour,Six Island Altering Cave,Walking/Grass,14,5
Houndour,Six Island Altering Cave,Walking/Grass,20,5
Houndour,Six Island Altering Cave,Walking/Grass,16,7
Houndour,Six Island Altering Cave,Walking/Grass,18,7
Houndour,Six Island Altering Cave,Walking/Grass,14,7
Houndour,Six Island Altering Cave,Walking/Grass,20,7
Houndour,Six Island Altering Cave,Walking/Grass,16,7
Houndour,Six Island Altering Cave,Walking/Grass,18,7
Houndour,Six Island Altering Cave,Walking/Grass,22,7
Houndour,Six Island Altering Cave,Walking/Grass,12,7
Houndour,Six Island Altering Cave,Walking/Grass,14,7
Houndour,Six Island Altering Cave,Walking/Grass,20,7
Houndour,Six Island Altering Cave,Walking/Grass,14,7
Houndour,Six Island Altering Cave,Walking/Grass,20,7
Hypno,Three Island Berry Forest,Walking/Grass,37,21
Hypno,Three Island Berry Forest,Walking/Grass,40,21
Hypno,Three Island Berry Forest,Walking/Grass,37,21
Jigglypuff,Route2,Walking/Grass,5,21
Jigglypuff,Route3,Walking/Grass,3,21
Jigglypuff,Route3,Walking/Grass,5,21
Jigglypuff,Route3,Walking/Grass,7,21
Jigglypuff,Route3,Walking/Grass,3,21
Jigglypuff,Route3,Walking/Grass,5,21
Jigglypuff,Route3,Walking/Grass,7,21
Jynx,Seafoam Islands B1F,Walking/Grass,30,7
Kabuto,Mt Moon B2F,Walking/Grass,15,7
Kadabra,Cerulean Cave 2F,Walking/Grass,55,7
Kadabra,Cerulean Cave 2F,Walking/Grass,64,7
Kadabra,Cerulean Cave B1F,Walking/Grass,58,7
Kadabra,Cerulean Cave B1F,Walking/Grass,67,7
Kadabra,Cerulean Cave 2F,Walking/Grass,55,7
Kadabra,Cerulean Cave 2F,Walking/Grass,64,7
Kadabra,Cerulean Cave B1F,Walking/Grass,58,7
Kadabra,Cerulean Cave B1F,Walking/Grass,67,7
Kakuna,Viridian Forest,Walking/Grass,5,14
Kakuna,Viridian Forest,Walking/Grass,4,14
Kakuna,Six Island Pattern Bush,Walking/Grass,9,21
Kakuna,Route24,Walking/Grass,8,21
Kakuna,Route25,Walking/Grass,9,21
Kakuna,Viridian Forest,Walking/Grass,5,14
Kakuna,Six Island Pattern Bush,Walking/Grass,9,21
Kakuna,Route24,Walking/Grass,8,21
Kakuna,Route25,Walking/Grass,9,21
Kangaskhan,Safari Zone East,Walking/Grass,25,21
Kangaskhan,Safari Zone West,Walking/Grass,28,21
Kangaskhan,Safari Zone East,Walking/Grass,25,21
Kangaskhan,Safari Zone West,Walking/Grass,28,21
Kingler,Four Island Icefall Cave Back,Fishing (Unknown Rod),25-35,20
Kingler,One Island Kindle Road,Fishing (Unknown Rod),25-35,20
Kingler,One Island Treasure Beach,Fishing (Unknown Rod),25-35,20
Kingler,Three Island Bond Bridge,Fishing (Unknown Rod),25-35,20
Kingler,Five Island Resort Gorgeous,Fishing (Unknown Rod),25-35,20
Kingler,Five Island Water Labyrinth,Fishing (Unknown Rod),25-35,20
Kingler,Five Island Meadow,Fishing (Unknown Rod),25-35,20
Kingler,Five Island Memorial Pillar,Fishing (Unknown Rod),25-35,20
Kingler,Six Island Outcast Island,Fishing (Unknown Rod),25-35,20
Kingler,Six Island Green Path,Fishing (Unknown Rod),25-35,20
Kingler,Six Island Water Path,Fishing (Unknown Rod),25-35,20
Kingler,Seven Island Trainer Tower,Fishing (Unknown Rod),25-35,20
Kingler,Seven Island Tanoby Ruins,Fishing (Unknown Rod),25-35,20
Kingler,Route19,Fishing (Unknown Rod),25-35,20
Kingler,Route20,Fishing (Unknown Rod),25-35,20
Kingler,Route21 North,Fishing (Unknown Rod),25-35,20
Kingler,Route21 South,Fishing (Unknown Rod),25-35,20
Kingler,Pallet Town,Fishing (Unknown Rod),5-6,10
Kingler,One Island,Fishing (Unknown Rod),25-35,10
Kingler,Five Island,Fishing (Unknown Rod),25-35,10
Koffing,Pokemon Mansion 1F,Walking/Grass,28,7
Koffing,Pokemon Mansion 1F,Walking/Grass,30,7
Koffing,Pokemon Mansion 2F,Walking/Grass,28,7
Koffing,Pokemon Mansion 2F,Walking/Grass,30,7
