Pokemon,Obtainability Method,Location/Details,Level/Requirement
GYARADOS,Wild - Fishing,Seven Island Trainer Tower,Lv 15-25
GYARADOS,Wild - Fishing,Seven Island Tanoby Ruins,Lv 15-25
GYARADOS,Wild - Fishing,Route4,Lv 15-25
GYARADOS,Wild - Fishing,Route6,Lv 15-25
GYARADOS,Wild - Fishing,Route10,Lv 15-25
GYARADOS,Wild - Fishing,Route11,Lv 15-25
GYARADOS,Wild - Fishing,Route12,Lv 15-25
GYARADOS,Wild - Fishing,Route13,Lv 15-25
GYARADOS,Wild - Fishing,Route19,Lv 15-25
GYARADOS,Wild - Fishing,Route20,Lv 15-25
GYARADOS,Wild - Fishing,Route21 North,Lv 15-25
GYARADOS,Wild - Fishing,Route21 South,Lv 15-25
GYARADOS,Wild - Fishing,Route22,Lv 15-25
GYARADOS,Wild - Fishing,Route23,Lv 15-25
GYARADOS,Wild - Fishing,Route24,Lv 15-25
GYARADOS,Wild - Fishing,Route25,Lv 15-25
GYARADOS,Wild - Fishing,Pallet Town,Lv 4-6
GYARADOS,Wild - Fishing,Viridian City,Lv 4-6
GYARADOS,Wild - Fishing,Cerulean City,Lv 15-25
GYARADOS,Wild - Fishing,Vermilion City,Lv 15-25
GYARADOS,Wild - Fishing,Fuchsia City,Lv 15-25
GYARADOS,Wild - Fishing,Cinnabar Island,Lv 15-25
GYARADOS,Wild - Fishing,One Island,Lv 15-25
GYARADOS,Wild - Fishing,Four Island,Lv 15-25
GYARADOS,Wild - Fishing,Five Island,Lv 15-25
GYARADOS,Evolution,From Magikarp,Level 20
HARIYAMA,Evolution,From Makuhita,Level 24
HAUNTER,Wild - Walking/Grass,Pokemon Tower 3F,Lv 20
HAUNTER,Wild - Walking/Grass,Pokemon Tower 4F,Lv 20
HAUNTER,Wild - Walking/Grass,Pokemon Tower 5F,Lv 20
HAUNTER,Wild - Walking/Grass,Pokemon Tower 6F,Lv 21
HAUNTER,Wild - Walking/Grass,Pokemon Tower 6F,Lv 23
HAUNTER,Wild - Walking/Grass,Pokemon Tower 7F,Lv 23
HAUNTER,Wild - Walking/Grass,Pokemon Tower 7F,Lv 23
HAUNTER,Wild - Walking/Grass,Pokemon Tower 7F,Lv 25
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 52
HAUNTER,Wild - Walking/Grass,Pokemon Tower 3F,Lv 20
HAUNTER,Wild - Walking/Grass,Pokemon Tower 4F,Lv 20
HAUNTER,Wild - Walking/Grass,Pokemon Tower 5F,Lv 20
HAUNTER,Wild - Walking/Grass,Pokemon Tower 6F,Lv 21
HAUNTER,Wild - Walking/Grass,Pokemon Tower 6F,Lv 23
HAUNTER,Wild - Walking/Grass,Pokemon Tower 7F,Lv 23
HAUNTER,Wild - Walking/Grass,Pokemon Tower 7F,Lv 23
HAUNTER,Wild - Walking/Grass,Pokemon Tower 7F,Lv 25
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 52
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 44
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 46
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 48
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 50
HAUNTER,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 52
HAUNTER,Evolution,From Gastly,Level 25
HERACROSS,Wild - Walking/Grass,Six Island Pattern Bush,Lv 15
HERACROSS,Wild - Walking/Grass,Six Island Pattern Bush,Lv 20
HERACROSS,Wild - Walking/Grass,Six Island Pattern Bush,Lv 25
HERACROSS,Wild - Walking/Grass,Six Island Pattern Bush,Lv 30
HERACROSS,Wild - Walking/Grass,Six Island Pattern Bush,Lv 15
HERACROSS,Wild - Walking/Grass,Six Island Pattern Bush,Lv 20
HERACROSS,Wild - Walking/Grass,Six Island Pattern Bush,Lv 25
HERACROSS,Wild - Walking/Grass,Six Island Pattern Bush,Lv 30
HITMONCHAN,Wild - Walking/Grass,Victory Road 2F,Lv 45
HITMONCHAN,Evolution,From Tyrogue,Level (Attack < Defense)
HITMONCHAN,Gift,Saffron City (Fighting Dojo),Choose after defeating Dojo
HITMONLEE,Wild - Walking/Grass,Victory Road 1F,Lv 45
HITMONLEE,Evolution,From Tyrogue,Level (Attack > Defense)
HITMONLEE,Gift,Saffron City (Fighting Dojo),Choose after defeating Dojo
HITMONTOP,Evolution,From Tyrogue,Level (Attack = Defense)
HOPPIP,Wild - Surfing,Five Island Resort Gorgeous,Lv 5-15
HOPPIP,Wild - Surfing,Five Island Water Labyrinth,Lv 5-15
HOPPIP,Wild - Walking/Grass,Five Island Meadow,Lv 10
HOPPIP,Wild - Walking/Grass,Five Island Meadow,Lv 15
HOPPIP,Wild - Surfing,Five Island Meadow,Lv 5-15
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 10
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 12
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 8
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 14
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 10
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 12
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 16
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 6
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 8
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 14
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 8
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 14
HOPPIP,Wild - Surfing,Five Island Memorial Pillar,Lv 5-15
HOPPIP,Wild - Surfing,Five Island,Lv 5-15
HOPPIP,Wild - Surfing,Five Island Resort Gorgeous,Lv 5-15
HOPPIP,Wild - Surfing,Five Island Water Labyrinth,Lv 5-15
HOPPIP,Wild - Walking/Grass,Five Island Meadow,Lv 10
HOPPIP,Wild - Walking/Grass,Five Island Meadow,Lv 15
HOPPIP,Wild - Surfing,Five Island Meadow,Lv 5-15
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 10
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 12
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 8
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 14
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 10
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 12
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 16
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 6
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 8
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 14
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 8
HOPPIP,Wild - Walking/Grass,Five Island Memorial Pillar,Lv 14
HOPPIP,Wild - Surfing,Five Island Memorial Pillar,Lv 5-15
HOPPIP,Wild - Surfing,Five Island,Lv 5-15
HORSEA,Wild - Fishing,Ssanne Exterior,Lv 5-15
HORSEA,Wild - Fishing,Ssanne Exterior,Lv 15-25
HORSEA,Wild - Fishing,Ssanne Exterior,Lv 25-35
HORSEA,Wild - Surfing,Seafoam Islands B3F,Lv 25-30
HORSEA,Wild - Fishing,Seafoam Islands B3F,Lv 5-15
HORSEA,Wild - Fishing,Seafoam Islands B3F,Lv 15-25
HORSEA,Wild - Fishing,Seafoam Islands B3F,Lv 20-30
HORSEA,Wild - Surfing,Seafoam Islands B4F,Lv 25-30
HORSEA,Wild - Fishing,Seafoam Islands B4F,Lv 5-15
HORSEA,Wild - Fishing,Seafoam Islands B4F,Lv 15-25
HORSEA,Wild - Fishing,Seafoam Islands B4F,Lv 20-30
HORSEA,Wild - Fishing,Four Island Icefall Cave Back,Lv 5-15
HORSEA,Wild - Fishing,Four Island Icefall Cave Back,Lv 5-15
HORSEA,Wild - Fishing,Four Island Icefall Cave Back,Lv 15-25
HORSEA,Wild - Fishing,One Island Kindle Road,Lv 5-15
HORSEA,Wild - Fishing,One Island Kindle Road,Lv 5-15
HORSEA,Wild - Fishing,One Island Kindle Road,Lv 15-25
HORSEA,Wild - Fishing,One Island Kindle Road,Lv 15-25
HORSEA,Wild - Fishing,One Island Treasure Beach,Lv 5-15
HORSEA,Wild - Fishing,One Island Treasure Beach,Lv 5-15
HORSEA,Wild - Fishing,One Island Treasure Beach,Lv 15-25
HORSEA,Wild - Fishing,One Island Treasure Beach,Lv 15-25
HORSEA,Wild - Fishing,Three Island Bond Bridge,Lv 5-15
HORSEA,Wild - Fishing,Three Island Bond Bridge,Lv 5-15
HORSEA,Wild - Fishing,Three Island Bond Bridge,Lv 15-25
HORSEA,Wild - Fishing,Three Island Bond Bridge,Lv 15-25
HORSEA,Wild - Fishing,Five Island Resort Gorgeous,Lv 5-15
HORSEA,Wild - Fishing,Five Island Resort Gorgeous,Lv 5-15
HORSEA,Wild - Fishing,Five Island Resort Gorgeous,Lv 15-25
HORSEA,Wild - Fishing,Five Island Water Labyrinth,Lv 5-15
HORSEA,Wild - Fishing,Five Island Water Labyrinth,Lv 5-15
HORSEA,Wild - Fishing,Five Island Water Labyrinth,Lv 15-25
HORSEA,Wild - Fishing,Five Island Meadow,Lv 5-15
HORSEA,Wild - Fishing,Five Island Meadow,Lv 5-15
HORSEA,Wild - Fishing,Five Island Meadow,Lv 15-25
HORSEA,Wild - Fishing,Five Island Memorial Pillar,Lv 5-15
HORSEA,Wild - Fishing,Five Island Memorial Pillar,Lv 5-15
HORSEA,Wild - Fishing,Five Island Memorial Pillar,Lv 15-25
HORSEA,Wild - Fishing,Six Island Outcast Island,Lv 5-15
HORSEA,Wild - Fishing,Six Island Outcast Island,Lv 5-15
HORSEA,Wild - Fishing,Six Island Outcast Island,Lv 15-25
HORSEA,Wild - Fishing,Six Island Green Path,Lv 5-15
HORSEA,Wild - Fishing,Six Island Green Path,Lv 5-15
HORSEA,Wild - Fishing,Six Island Green Path,Lv 15-25
HORSEA,Wild - Fishing,Six Island Water Path,Lv 5-15
HORSEA,Wild - Fishing,Six Island Water Path,Lv 5-15
HORSEA,Wild - Fishing,Six Island Water Path,Lv 15-25
HORSEA,Wild - Fishing,Seven Island Trainer Tower,Lv 5-15
HORSEA,Wild - Fishing,Seven Island Trainer Tower,Lv 5-15
HORSEA,Wild - Fishing,Seven Island Trainer Tower,Lv 15-25
HORSEA,Wild - Fishing,Seven Island Tanoby Ruins,Lv 5-15
HORSEA,Wild - Fishing,Seven Island Tanoby Ruins,Lv 5-15
HORSEA,Wild - Fishing,Seven Island Tanoby Ruins,Lv 15-25
HORSEA,Wild - Fishing,Route4,Lv 5-15
HORSEA,Wild - Fishing,Route4,Lv 15-25
HORSEA,Wild - Fishing,Route4,Lv 15-25
HORSEA,Wild - Fishing,Route4,Lv 25-35
HORSEA,Wild - Fishing,Route10,Lv 5-15
HORSEA,Wild - Fishing,Route10,Lv 15-25
HORSEA,Wild - Fishing,Route10,Lv 15-25
HORSEA,Wild - Fishing,Route10,Lv 25-35
HORSEA,Wild - Fishing,Route11,Lv 5-15
HORSEA,Wild - Fishing,Route11,Lv 15-25
HORSEA,Wild - Fishing,Route11,Lv 15-25
HORSEA,Wild - Fishing,Route11,Lv 25-35
HORSEA,Wild - Fishing,Route12,Lv 5-15
HORSEA,Wild - Fishing,Route12,Lv 15-25
HORSEA,Wild - Fishing,Route12,Lv 15-25
HORSEA,Wild - Fishing,Route12,Lv 25-35
HORSEA,Wild - Fishing,Route13,Lv 5-15
HORSEA,Wild - Fishing,Route13,Lv 15-25
HORSEA,Wild - Fishing,Route13,Lv 15-25
HORSEA,Wild - Fishing,Route13,Lv 25-35
HORSEA,Wild - Fishing,Route19,Lv 5-15
HORSEA,Wild - Fishing,Route19,Lv 15-25
HORSEA,Wild - Fishing,Route19,Lv 15-25
HORSEA,Wild - Fishing,Route20,Lv 5-15
HORSEA,Wild - Fishing,Route20,Lv 15-25
HORSEA,Wild - Fishing,Route20,Lv 15-25
HORSEA,Wild - Fishing,Route21 North,Lv 5-15
HORSEA,Wild - Fishing,Route21 North,Lv 15-25
HORSEA,Wild - Fishing,Route21 North,Lv 15-25
HORSEA,Wild - Fishing,Route21 South,Lv 5-15
HORSEA,Wild - Fishing,Route21 South,Lv 15-25
HORSEA,Wild - Fishing,Route21 South,Lv 15-25
HORSEA,Wild - Fishing,Route24,Lv 5-15
HORSEA,Wild - Fishing,Route24,Lv 15-25
HORSEA,Wild - Fishing,Route24,Lv 15-25
HORSEA,Wild - Fishing,Route24,Lv 25-35
HORSEA,Wild - Fishing,Pallet Town,Lv 3-5
HORSEA,Wild - Fishing,Pallet Town,Lv 4-6
HORSEA,Wild - Fishing,Cerulean City,Lv 5-15
HORSEA,Wild - Fishing,Cerulean City,Lv 15-25
HORSEA,Wild - Fishing,Cerulean City,Lv 15-25
HORSEA,Wild - Fishing,Cerulean City,Lv 25-35
HORSEA,Wild - Fishing,Vermilion City,Lv 5-15
HORSEA,Wild - Fishing,Vermilion City,Lv 15-25
HORSEA,Wild - Fishing,Vermilion City,Lv 25-35
HORSEA,Wild - Fishing,Cinnabar Island,Lv 5-15
HORSEA,Wild - Fishing,Cinnabar Island,Lv 15-25
HORSEA,Wild - Fishing,One Island,Lv 5-15
HORSEA,Wild - Fishing,One Island,Lv 5-15
HORSEA,Wild - Fishing,One Island,Lv 15-25
HORSEA,Wild - Fishing,Five Island,Lv 5-15
HORSEA,Wild - Fishing,Five Island,Lv 5-15
HORSEA,Wild - Fishing,Five Island,Lv 15-25
HORSEA,Wild - Fishing,Ssanne Exterior,Lv 5-15
HORSEA,Wild - Fishing,Seafoam Islands B3F,Lv 5-15
HORSEA,Wild - Fishing,Seafoam Islands B4F,Lv 5-15
HORSEA,Wild - Fishing,Route4,Lv 5-15
HORSEA,Wild - Fishing,Route10,Lv 5-15
HORSEA,Wild - Fishing,Route11,Lv 5-15
HORSEA,Wild - Fishing,Route12,Lv 5-15
HORSEA,Wild - Fishing,Route13,Lv 5-15
HORSEA,Wild - Fishing,Route19,Lv 5-15
HORSEA,Wild - Fishing,Route20,Lv 5-15
HORSEA,Wild - Fishing,Route21 North,Lv 5-15
HORSEA,Wild - Fishing,Route21 South,Lv 5-15
HORSEA,Wild - Fishing,Route24,Lv 5-15
HORSEA,Wild - Fishing,Pallet Town,Lv 3-6
HORSEA,Wild - Fishing,Pallet Town,Lv 3-5
HORSEA,Wild - Fishing,Cerulean City,Lv 5-15
HORSEA,Wild - Fishing,Vermilion City,Lv 5-15
HORSEA,Wild - Fishing,Vermilion City,Lv 25-35
HORSEA,Wild - Fishing,Cinnabar Island,Lv 5-15
HOUNDOOM,Evolution,From Houndour,Level 24
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 16
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 14
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 16
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 12
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 14
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 14
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 16
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 14
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 16
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 12
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 14
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 14
HOUNDOUR,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
HO_OH,Event,Navel Rock,Lv. 70; requires Mystery Gift event item (MysticTicket)
HUNTAIL,Evolution,From Clamperl,Level 45
HYPNO,Wild - Walking/Grass,Three Island Berry Forest,Lv 37
HYPNO,Wild - Walking/Grass,Three Island Berry Forest,Lv 40
HYPNO,Wild - Walking/Grass,Three Island Berry Forest,Lv 37
HYPNO,Evolution,From Drowzee,Level 26
IVYSAUR,Evolution,From Bulbasaur,Level 16
JIGGLYPUFF,Wild - Walking/Grass,Route2,Lv 5
JIGGLYPUFF,Wild - Walking/Grass,Route3,Lv 3
JIGGLYPUFF,Wild - Walking/Grass,Route3,Lv 5
